cursor timestamp xpos ypos event xpath attrs extras
0 1546857049870 133 2635 mousemove //*[@id='product-81'] {"DIV":{"class":"col-md-4 product-tab-grid simpleCart_shelfItem product-info-list","id":"product-81","data-product-id":"81"}} {}
0 1546857049932 279 2635 mousemove //*[@id='product-81-grid-img']/a/div[2]/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2018/05/Apple-iPhone-8-64GB-Mobile-Phone2.jpg","class":"img-responsive","alt":""}} {}
0 1546857050004 358 2670 mousemove //*[@id='product-81']/div {"DIV":{"class":"grid-arr"}} {}
0 1546857050223 383 2662 mousemove //*[@id='product-57'] {"DIV":{"class":"col-md-4 product-tab-grid simpleCart_shelfItem product-info-list","id":"product-57","data-product-id":"57"}} {}
0 1546857050278 542 2660 mousemove //*[@id='product-57-grid-img']/a/div[2]/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2018/05/Apple-iPhone-8-Plus-64GB-Mobile-Phone2.jpg","class":"img-responsive","alt":""}} {}
0 1546857050332 594 2690 mousemove //*[@id='product-57-grid-img']/a/div[2]/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2018/05/Apple-iPhone-8-Plus-64GB-Mobile-Phone2.jpg","class":"img-responsive","alt":""}} {}
0 1546857050573 627 2683 mousemove //*[@id='product-57'] {"DIV":{"class":"col-md-4 product-tab-grid simpleCart_shelfItem product-info-list","id":"product-57","data-product-id":"57"}} {}
0 1546857050632 735 2658 mousemove //*[@id='product-9-grid-img']/a/div[2]/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2018/05/Samsung-Galaxy-A5-2017-Dual-SIM-Mobile-Phone-2.jpg","class":"img-responsive","alt":""}} {}
0 1546857050685 749 2652 mousemove //*[@id='product-9-grid-img']/a/div[2]/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2018/05/Samsung-Galaxy-A5-2017-Dual-SIM-Mobile-Phone-2.jpg","class":"img-responsive","alt":""}} {}
0 1546857050745 749 2650 mousemove //*[@id='product-9-grid-img']/a/div[2]/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2018/05/Samsung-Galaxy-A5-2017-Dual-SIM-Mobile-Phone-2.jpg","class":"img-responsive","alt":""}} {}
0 1546857051458 749 2650 mousemove //*[@id='product-9-grid-img']/a/div[1]/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2018/05/Samsung-Galaxy-A5-2017-Dual-SIM-Mobile-Phone-1.jpg","class":"img-responsive","alt":""}} {}
0 1546857051498 749 2650 click //*[@id='product-9-grid-img']/a/div[1]/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2018/05/Samsung-Galaxy-A5-2017-Dual-SIM-Mobile-Phone-1.jpg","class":"img-responsive","alt":""}} {}
0 1546857052152 0 0 unload / {} {}
