cursor timestamp xpos ypos event xpath attrs extras
0 1547825640418 165 3 mousemove /html/body/div[2]/div[1]/div[1] {"DIV":{"class":"container"}} {}
0 1547825640472 261 85 mousemove //*[@id='ur-frontend-form'] {"DIV":{"class":"ur-frontend-form ur-frontend-form--rounded ur-frontend-form--rounded-edge ","id":"ur-frontend-form"}} {}
0 1547825640537 359 153 mousemove //*[@id='ur-frontend-form']/form/div[1]/div[3] {"DIV":{"class":"ur-form-grid ur-grid-3","style":"width:30%"}} {}
0 1547825640587 385 178 mousemove //*[@id='ur-frontend-form']/form/div[1]/div[3] {"DIV":{"class":"ur-form-grid ur-grid-3","style":"width:30%"}} {}
0 1547825640638 413 206 mousemove //*[@id='ur-frontend-form']/form/div[1]/div[3] {"DIV":{"class":"ur-form-grid ur-grid-3","style":"width:30%"}} {}
0 1547825640704 463 242 mousemove //*[@id='ur-frontend-form']/form/div[1]/div[2] {"DIV":{"class":"ur-form-grid ur-grid-2","style":"width:30%"}} {}
0 1547825640770 484 267 mousemove //*[@id='user_email'] {"INPUT":{"data-rules":"","data-id":"user_email","type":"email","class":"input-text input-email ur-frontend-field ","name":"user_email","id":"user_email","placeholder":"یک آدرس ایمیل معتبر وارد کنید","value":"","required":"required","data-label":"ایمیل"}} {}
0 1547825640821 513 294 mousemove //*[@id='user_email'] {"INPUT":{"data-rules":"","data-id":"user_email","type":"email","class":"input-text input-email ur-frontend-field ","name":"user_email","id":"user_email","placeholder":"یک آدرس ایمیل معتبر وارد کنید","value":"","required":"required","data-label":"ایمیل"}} {}
0 1547825640872 519 306 mousemove //*[@id='ur-frontend-form']/form/div[1]/div[2] {"DIV":{"class":"ur-form-grid ur-grid-2","style":"width:30%"}} {}
0 1547825641000 520 308 mousewheel //*[@id='ur-frontend-form']/form/div[1]/div[2] {"DIV":{"class":"ur-form-grid ur-grid-2","style":"width:30%"}} {}
0 1547825641079 520 308 mousewheel //*[@id='ur-frontend-form']/form/div[1]/div[2] {"DIV":{"class":"ur-form-grid ur-grid-2","style":"width:30%"}} {}
0 1547825641172 520 308 mousewheel //*[@id='ur-frontend-form']/form/div[1]/div[2] {"DIV":{"class":"ur-form-grid ur-grid-2","style":"width:30%"}} {}
0 1547825641251 0 0 load / {} {}
0 1547825641349 521 310 mousemove //*[@id='ur-frontend-form']/form/div[1]/div[2] {"DIV":{"class":"ur-form-grid ur-grid-2","style":"width:30%"}} {}
0 1547825642118 521 311 mousemove //*[@id='ur-frontend-form']/form/div[1]/div[2] {"DIV":{"class":"ur-form-grid ur-grid-2","style":"width:30%"}} {}
0 1547825642942 521 312 mousemove //*[@id='ur-frontend-form']/form/div[1]/div[2] {"DIV":{"class":"ur-form-grid ur-grid-2","style":"width:30%"}} {}
0 1547825643004 487 301 mousemove //*[@id='user_email'] {"INPUT":{"data-rules":"","data-id":"user_email","type":"email","class":"input-text input-email ur-frontend-field ","name":"user_email","id":"user_email","placeholder":"یک آدرس ایمیل معتبر وارد کنید","value":"","required":"required","data-label":"ایمیل"}} {}
0 1547825643069 253 164 mousemove //*[@id='ur-frontend-form']/form/div[1]/div[3] {"DIV":{"class":"ur-form-grid ur-grid-3","style":"width:30%"}} {}
0 1547825645700 0 0 unload / {} {}
