cursor timestamp xpos ypos event xpath attrs extras
0 1548439291150 979 95 mousemove //*[@id='main-banner'] {"DIV":{"id":"main-banner","class":"main-banner banner text-center"}} {}
0 1548439291200 975 117 mousemove //*[@id='main-banner'] {"DIV":{"id":"main-banner","class":"main-banner banner text-center"}} {}
0 1548439291250 964 158 mousemove //*[@id='main-banner'] {"DIV":{"id":"main-banner","class":"main-banner banner text-center"}} {}
0 1548439291266 0 1 scroll / {} {}
0 1548439291283 0 7 scroll / {} {}
0 1548439291300 0 19 scroll / {} {}
0 1548439291316 0 45 scroll / {} {}
0 1548439291333 0 81 scroll / {} {}
0 1548439291350 0 130 scroll / {} {}
0 1548439291367 0 182 scroll / {} {}
0 1548439291383 0 234 scroll / {} {}
0 1548439291400 0 287 scroll / {} {}
0 1548439291417 0 333 scroll / {} {}
0 1548439291435 0 373 scroll / {} {}
0 1548439291450 0 411 scroll / {} {}
0 1548439291466 0 444 scroll / {} {}
0 1548439291486 0 470 scroll / {} {}
0 1548439291500 0 490 scroll / {} {}
0 1548439291517 0 501 scroll / {} {}
0 1548439291535 0 504 scroll / {} {}
0 1548439291752 964 655 mousemove //*[@id='category-2'] {"LI":{"id":"category-2","class":"resp-tab-item hor_1","aria-controls":"hor_1_tab_item-0","role":"tab","style":"background-color: rgb(245, 245, 245);"}} {}
0 1548439291901 969 655 mousemove //*[@id='category-2'] {"LI":{"id":"category-2","class":"resp-tab-item hor_1","aria-controls":"hor_1_tab_item-0","role":"tab","style":"background-color: rgb(245, 245, 245);"}} {}
0 1548439291984 979 656 mousemove //*[@id='category-2'] {"LI":{"id":"category-2","class":"resp-tab-item hor_1","aria-controls":"hor_1_tab_item-0","role":"tab","style":"background-color: rgb(245, 245, 245);"}} {}
0 1548439292067 992 660 mousemove //*[@id='category-2'] {"LI":{"id":"category-2","class":"resp-tab-item hor_1","aria-controls":"hor_1_tab_item-0","role":"tab","style":"background-color: rgb(245, 245, 245);"}} {}
0 1548439292153 1007 674 mousemove //*[@id='parentVerticalTab']/ul {"UL":{"class":"resp-tabs-list hor_1","style":"margin-top: 3px;"}} {}
0 1548439292219 1015 695 mousemove //*[@id='category-3'] {"LI":{"id":"category-3","class":"resp-tab-active resp-tab-item hor_1","aria-controls":"hor_1_tab_item-1","role":"tab","style":"background-color: rgb(245, 245, 245);"}} {}
0 1548439292286 1016 699 mousemove //*[@id='category-3'] {"LI":{"id":"category-3","class":"resp-tab-active resp-tab-item hor_1","aria-controls":"hor_1_tab_item-1","role":"tab","style":"background-color: rgb(245, 245, 245);"}} {}
0 1548439292469 1016 698 mousemove //*[@id='category-3'] {"LI":{"id":"category-3","class":"resp-tab-active resp-tab-item hor_1","aria-controls":"hor_1_tab_item-1","role":"tab","style":"background-color: rgb(245, 245, 245);"}} {}
0 1548439292520 1018 697 mousemove //*[@id='category-3'] {"LI":{"id":"category-3","class":"resp-tab-active resp-tab-item hor_1","aria-controls":"hor_1_tab_item-1","role":"tab","style":"background-color: rgb(245, 245, 245);"}} {}
0 1548439292636 1018 696 mousemove //*[@id='category-3'] {"LI":{"id":"category-3","class":"resp-tab-active resp-tab-item hor_1","aria-controls":"hor_1_tab_item-1","role":"tab","style":"background-color: rgb(245, 245, 245);"}} {}
0 1548439298013 1019 696 mousemove //*[@id='category-3'] {"LI":{"id":"category-3","class":"resp-tab-active resp-tab-item hor_1","aria-controls":"hor_1_tab_item-1","role":"tab","style":"background-color: rgb(245, 245, 245);"}} {}
0 1548439298064 0 508 scroll / {} {}
0 1548439298096 0 512 scroll / {} {}
0 1548439298113 0 517 scroll / {} {}
0 1548439298129 0 523 scroll / {} {}
0 1548439298146 0 533 scroll / {} {}
0 1548439298163 0 547 scroll / {} {}
0 1548439298180 0 562 scroll / {} {}
0 1548439298197 0 579 scroll / {} {}
0 1548439298214 0 596 scroll / {} {}
0 1548439298230 0 614 scroll / {} {}
0 1548439298246 0 631 scroll / {} {}
0 1548439298263 0 649 scroll / {} {}
0 1548439298280 0 665 scroll / {} {}
0 1548439298297 0 681 scroll / {} {}
0 1548439298314 0 695 scroll / {} {}
0 1548439298330 0 709 scroll / {} {}
0 1548439298343 0 0 load / {} {}
0 1548439298348 0 1 scroll / {} {}
0 1548439299314 0 2 scroll / {} {}
0 1548439299331 0 5 scroll / {} {}
0 1548439299349 0 13 scroll / {} {}
0 1548439299366 0 27 scroll / {} {}
0 1548439299381 0 56 scroll / {} {}
0 1548439299399 0 93 scroll / {} {}
0 1548439299415 0 136 scroll / {} {}
0 1548439299432 0 184 scroll / {} {}
0 1548439299448 0 232 scroll / {} {}
0 1548439299466 0 278 scroll / {} {}
0 1548439299482 0 322 scroll / {} {}
0 1548439299498 0 362 scroll / {} {}
0 1548439299517 0 399 scroll / {} {}
0 1548439299532 0 431 scroll / {} {}
0 1548439299548 0 458 scroll / {} {}
0 1548439299565 0 480 scroll / {} {}
0 1548439299582 0 496 scroll / {} {}
0 1548439299599 0 504 scroll / {} {}
0 1548439299616 0 505 scroll / {} {}
0 1548439299716 1021 699 mousemove //*[@id='category-3'] {"LI":{"id":"category-3","class":"resp-tab-active resp-tab-item hor_1","aria-controls":"hor_1_tab_item-1","role":"tab","style":"background-color: rgb(245, 245, 245);"}} {}
0 1548439299916 1021 698 mousemove //*[@id='category-3'] {"LI":{"id":"category-3","class":"resp-tab-active resp-tab-item hor_1","aria-controls":"hor_1_tab_item-1","role":"tab","style":"background-color: rgb(245, 245, 245);"}} {}
0 1548439301301 1022 697 mousemove //*[@id='category-3'] {"LI":{"id":"category-3","class":"resp-tab-active resp-tab-item hor_1","aria-controls":"hor_1_tab_item-1","role":"tab","style":"background-color: rgb(245, 245, 245);"}} {}
